Date,Open,High,Low,Close,Volume
03.07.2015 17:00:00.000 GMT-0400,2072.680,2072.680,2072.680,2072.680,0
04.07.2015 17:00:00.000 GMT-0400,2072.680,2072.680,2072.680,2072.680,0
05.07.2015 17:00:00.000 GMT-0400,2053.690,2078.958,2053.669,2068.999,30.9819
06.07.2015 17:00:00.000 GMT-0400,2081.989,2086.200,2043.476,2082.495,11.3549
07.07.2015 17:00:00.000 GMT-0400,2065.986,2071.494,2044.186,2047.176,21.1968
08.07.2015 17:00:00.000 GMT-0400,2061.311,2075.699,2050.372,2050.414,8.831999999999999
09.07.2015 17:00:00.000 GMT-0400,2071.148,2081.994,2066.475,2077.191,5.791399999999999
10.07.2015 17:00:00.000 GMT-0400,2077.191,2077.191,2077.191,2077.191,0
11.07.2015 17:00:00.000 GMT-0400,2077.191,2077.191,2077.191,2077.191,0
12.07.2015 17:00:00.000 GMT-0400,2072.479,2100.700,2068.267,2099.529,9.821699999999998
13.07.2015 17:00:00.000 GMT-0400,2100.458,2112.200,2097.476,2108.485,4.6625000000000005
14.07.2015 17:00:00.000 GMT-0400,2110.640,2114.424,2101.993,2107.984,9.2387
15.07.2015 17:00:00.000 GMT-0400,2118.036,2124.500,2116.142,2124.450,6.352899999999999
16.07.2015 17:00:00.000 GMT-0400,2123.487,2126.698,2119.671,2125.478,12.534299999999998
17.07.2015 17:00:00.000 GMT-0400,2125.478,2125.478,2125.478,2125.478,0
18.07.2015 17:00:00.000 GMT-0400,2125.478,2125.478,2125.478,2125.478,0
19.07.2015 17:00:00.000 GMT-0400,2126.499,2133.265,2123.481,2126.672,7.583699999999999
20.07.2015 17:00:00.000 GMT-0400,2130.739,2131.698,2114.971,2118.984,3.7803999999999998
21.07.2015 17:00:00.000 GMT-0400,2112.483,2118.599,2108.515,2113.839,11.919200000000002
22.07.2015 17:00:00.000 GMT-0400,2119.671,2120.838,2098.229,2102.995,3.9045
23.07.2015 17:00:00.000 GMT-0400,2106.489,2110.695,2076.707,2080.689,9.258700000000001
24.07.2015 17:00:00.000 GMT-0400,2080.689,2080.689,2080.689,2080.689,0
25.07.2015 17:00:00.000 GMT-0400,2080.689,2080.689,2080.689,2080.689,0
26.07.2015 17:00:00.000 GMT-0400,2085.186,2087.198,2063.453,2068.696,6.9185
27.07.2015 17:00:00.000 GMT-0400,2079.486,2095.753,2068.496,2093.683,14.2721
28.07.2015 17:00:00.000 GMT-0400,2092.688,2110.999,2092.049,2107.174,11.836699999999999
29.07.2015 17:00:00.000 GMT-0400,2106.491,2110.700,2094.626,2108.691,7.713999999999999
30.07.2015 17:00:00.000 GMT-0400,2110.470,2115.989,2102.205,2105.117,7.180300000000001
31.07.2015 17:00:00.000 GMT-0400,2105.117,2105.117,2105.117,2105.117,0
01.08.2015 17:00:00.000 GMT-0400,2105.117,2105.117,2105.117,2105.117,0
02.08.2015 17:00:00.000 GMT-0400,2102.604,2109.169,2086.973,2097.856,10.946500000000002
03.08.2015 17:00:00.000 GMT-0400,2098.152,2102.995,2088.170,2094.179,14.4079
04.08.2015 17:00:00.000 GMT-0400,2093.197,2113.697,2091.747,2101.978,1.6561000000000001
05.08.2015 17:00:00.000 GMT-0400,2096.313,2104.488,2075.413,2083.479,10.717
06.08.2015 17:00:00.000 GMT-0400,2086.172,2087.994,2067.460,2078.497,13.9106
07.08.2015 17:00:00.000 GMT-0400,2078.497,2078.497,2078.497,2078.497,0
08.08.2015 17:00:00.000 GMT-0400,2078.497,2078.497,2078.497,2078.497,0
09.08.2015 17:00:00.000 GMT-0400,2084.987,2105.990,2079.150,2105.182,7.085700000000001
10.08.2015 17:00:00.000 GMT-0400,2095.487,2099.493,2075.809,2084.496,8.616100000000001
11.08.2015 17:00:00.000 GMT-0400,2072.141,2089.697,2051.589,2086.500,15.424800000000001
12.08.2015 17:00:00.000 GMT-0400,2092.670,2097.186,2077.644,2085.151,14.124600000000001
13.08.2015 17:00:00.000 GMT-0400,2084.472,2092.700,2077.971,2091.344,10.5254
14.08.2015 17:00:00.000 GMT-0400,2091.344,2091.344,2091.344,2091.344,0
15.08.2015 17:00:00.000 GMT-0400,2091.344,2091.344,2091.344,2091.344,0
16.08.2015 17:00:00.000 GMT-0400,2092.995,2102.996,2078.478,2102.890,22.203900000000004
17.08.2015 17:00:00.000 GMT-0400,2102.645,2103.995,2094.153,2096.690,4.6681
18.08.2015 17:00:00.000 GMT-0400,2091.478,2096.694,2070.146,2078.999,9.342800000000002
19.08.2015 17:00:00.000 GMT-0400,2076.193,2076.700,2035.676,2035.701,31.072300000000006
20.08.2015 17:00:00.000 GMT-0400,2018.200,2031.645,1970.971,1971.699,36.1449
21.08.2015 17:00:00.000 GMT-0400,1971.699,1971.699,1971.699,1971.699,0
22.08.2015 17:00:00.000 GMT-0400,1971.699,1971.699,1971.699,1971.699,0
23.08.2015 17:00:00.000 GMT-0400,1925.492,1953.496,1850.036,1887.443,33.8565
24.08.2015 17:00:00.000 GMT-0400,1897.186,1952.420,1867.162,1869.350,49.8612
25.08.2015 17:00:00.000 GMT-0400,1902.975,1944.108,1879.474,1943.467,38.2317
26.08.2015 17:00:00.000 GMT-0400,1941.717,1990.685,1938.598,1990.672,8.7817
27.08.2015 17:00:00.000 GMT-0400,1983.148,1993.681,1969.994,1987.190,25.1003
28.08.2015 17:00:00.000 GMT-0400,1987.190,1987.190,1987.190,1987.190,0
29.08.2015 17:00:00.000 GMT-0400,1987.190,1987.190,1987.190,1987.190,0
30.08.2015 17:00:00.000 GMT-0400,1973.462,1986.186,1965.104,1970.684,24.743599999999997
31.08.2015 17:00:00.000 GMT-0400,1937.167,1945.997,1901.676,1906.191,35.9186
01.09.2015 17:00:00.000 GMT-0400,1934.706,1949.505,1919.289,1948.995,74.5729
02.09.2015 17:00:00.000 GMT-0400,1949.190,1975.978,1944.984,1950.175,12.318799999999998
03.09.2015 17:00:00.000 GMT-0400,1934.320,1943.991,1910.488,1921.362,25.0957
04.09.2015 17:00:00.000 GMT-0400,1921.362,1921.362,1921.362,1921.362,0
05.09.2015 17:00:00.000 GMT-0400,1921.362,1921.362,1921.362,1921.362,0
06.09.2015 17:00:00.000 GMT-0400,1934.993,1944.536,1930.480,1932.707,27.614399999999996
07.09.2015 17:00:00.000 GMT-0400,1939.240,1970.818,1934.824,1969.196,63.0259
08.09.2015 17:00:00.000 GMT-0400,1986.165,1993.691,1937.472,1941.186,21.462600000000002
09.09.2015 17:00:00.000 GMT-0400,1952.198,1968.489,1930.163,1951.882,26.7545
10.09.2015 17:00:00.000 GMT-0400,1955.438,1960.925,1938.002,1959.899,27.718799999999995
11.09.2015 17:00:00.000 GMT-0400,1959.899,1959.899,1959.899,1959.899,0
12.09.2015 17:00:00.000 GMT-0400,1959.899,1959.899,1959.899,1959.899,0
13.09.2015 17:00:00.000 GMT-0400,1962.996,1970.549,1947.545,1953.097,25.069099999999995
14.09.2015 17:00:00.000 GMT-0400,1955.475,1983.497,1945.919,1977.832,38.39909999999999
15.09.2015 17:00:00.000 GMT-0400,1976.496,1997.549,1975.058,1995.021,21.851
16.09.2015 17:00:00.000 GMT-0400,1995.955,2021.221,1985.867,1989.951,48.412200000000006
17.09.2015 17:00:00.000 GMT-0400,1988.996,1992.999,1952.169,1956.691,69.558
18.09.2015 17:00:00.000 GMT-0400,1956.691,1956.691,1956.691,1956.691,0
19.09.2015 17:00:00.000 GMT-0400,1956.691,1956.691,1956.691,1956.691,0
20.09.2015 17:00:00.000 GMT-0400,1954.647,1979.693,1952.802,1967.261,28.0155
21.09.2015 17:00:00.000 GMT-0400,1971.125,1973.691,1928.566,1942.164,28.6131
22.09.2015 17:00:00.000 GMT-0400,1925.931,1952.499,1925.475,1938.128,30.0504
23.09.2015 17:00:00.000 GMT-0400,1933.692,1946.993,1908.155,1932.096,25.734199999999994
24.09.2015 17:00:00.000 GMT-0400,1937.670,1961.019,1921.471,1931.490,16.9534
25.09.2015 17:00:00.000 GMT-0400,1931.490,1931.490,1931.490,1931.490,0
26.09.2015 17:00:00.000 GMT-0400,1931.490,1931.490,1931.490,1931.490,0
27.09.2015 17:00:00.000 GMT-0400,1929.690,1939.643,1878.405,1882.657,36.4967
28.09.2015 17:00:00.000 GMT-0400,1875.237,1899.049,1870.461,1883.153,90.6797
29.09.2015 17:00:00.000 GMT-0400,1900.220,1919.823,1896.097,1917.784,61.59629999999999
30.09.2015 17:00:00.000 GMT-0400,1933.983,1938.945,1899.941,1923.176,83.4459
